"Study Title:Freq"
"Circuit Current:A"
Case,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Case Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency(Hz),Coil2A:Real,Coil2A:Imaginary,Coil2B:Real,Coil2B:Imaginary,Coil2C:Real,Coil2C:Imaginary,Coil4A:Real,Coil4A:Imaginary,Coil4B:Real,Coil4B:Imaginary,Coil4C:Real,Coil4C:Imaginary,ConductorA1:Real,ConductorA1:Imaginary,ConductorA2:Real,ConductorA2:Imaginary,ConductorA3:Real,ConductorA3:Imaginary,ConductorA4:Real,ConductorA4:Imaginary,ConductorB1:Real,ConductorB1:Imaginary,ConductorB2:Real,ConductorB2:Imaginary,ConductorB3:Real,ConductorB3:Imaginary,ConductorB4:Real,ConductorB4:Imaginary,ConductorC1:Real,ConductorC1:Imaginary,ConductorC2:Real,ConductorC2:Imaginary,ConductorC3:Real,ConductorC3:Imaginary,ConductorC4:Real,ConductorC4:Imaginary,ConductorD1:Real,ConductorD1:Imaginary,ConductorD2:Real,ConductorD2:Imaginary,ConductorD3:Real,ConductorD3:Imaginary,ConductorD4:Real,ConductorD4:Imaginary,ConductorE1:Real,ConductorE1:Imaginary,ConductorE2:Real,ConductorE2:Imaginary,ConductorE3:Real,ConductorE3:Imaginary,ConductorE4:Real,ConductorE4:Imaginary,ConductorF1:Real,ConductorF1:Imaginary,ConductorF2:Real,ConductorF2:Imaginary,ConductorF3:Real,ConductorF3:Imaginary,ConductorF4:Real,ConductorF4:Imaginary,ConductorG1:Real,ConductorG1:Imaginary,ConductorG2:Real,ConductorG2:Imaginary,ConductorG3:Real,ConductorG3:Imaginary,ConductorG4:Real,ConductorG4:Imaginary,ConductorH1:Real,ConductorH1:Imaginary,ConductorH2:Real,ConductorH2:Imaginary,ConductorH3:Real,ConductorH3:Imaginary,ConductorH4:Real,ConductorH4:Imaginary,CS2:Real,CS2:Imaginary,CS4:Real,CS4:Imaginary
2,-6.39707026258e-15,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,-3.98852968302e-14,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-177.267274093,-235.419089671,177.267274093,235.419089671,-177.267274093,-235.419089671,177.267274093,235.419089671,-257.441583275,-160.286845424,257.441583275,160.286845424,-257.441583275,-160.286845424,257.441583275,160.286845424,-295.917833545,-51.9056989964,295.917833545,51.9056989964,-295.917833545,-51.9056989964,295.917833545,51.9056989963,-290.050820791,81.3795934912,290.050820791,-81.3795934912,-290.050820791,81.3795934912,290.050820791,-81.3795934912,-239.345102684,177.755494885,239.345102684,-177.755494885,-239.345102684,177.755494885,239.345102684,-177.755494885,-161.637119137,248.998984235,161.637119137,-248.998984235,-161.637119137,248.998984235,161.637119137,-248.998984235,-44.4425212705,303.677977217,44.4425212705,-303.677977217,-44.4425212704,303.677977217,44.4425212704,-303.677977217,73.1482478144,289.689895803,-73.1482478144,-289.689895803,73.1482478144,289.689895803,-73.1482478144,-289.689895803,0,0,0,0
3,-2.09282056797e-14,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,-5.51206010096e-14,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-278.137618386,-242.378231412,278.137618386,242.378231412,-278.137618386,-242.378231412,278.137618386,242.378231412,-357.81948644,-133.06068082,357.81948644,133.06068082,-357.81948644,-133.060680819,357.81948644,133.060680819,-375.192808518,7.49536755202,375.192808518,-7.49536755202,-375.192808518,7.49536755206,375.192808518,-7.49536755208,-336.109565507,174.679442899,336.109565507,-174.679442899,-336.109565507,174.679442899,336.109565507,-174.679442899,-248.091218319,278.875054516,248.091218319,-278.875054516,-248.091218319,278.875054516,248.091218319,-278.875054516,-135.824907516,344.709227035,135.824907516,-344.709227035,-135.824907516,344.709227035,135.824907516,-344.709227035,21.606122661,386.338975358,-21.6061226611,-386.338975358,21.6061226612,386.338975358,-21.6061226612,-386.338975358,161.594466257,336.333035086,-161.594466257,-336.333035086,161.594466257,336.333035086,-161.594466257,-336.333035086,0,0,0,0
4,-2.0216926431e-14,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,2.52887220253e-14,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-345.721147332,-222.259880277,345.721147332,222.259880277,-345.721147332,-222.259880277,345.721147332,222.259880277,-417.805738721,-91.8928363603,417.805738721,91.8928363602,-417.805738721,-91.8928363602,417.805738721,91.8928363601,-412.593054213,63.9668225643,412.593054213,-63.9668225643,-412.593054213,63.9668225643,412.593054213,-63.9668225644,-345.153385945,246.647627446,345.153385945,-246.647627446,-345.153385945,246.647627446,345.153385945,-246.647627446,-229.783277525,347.033531094,229.783277525,-347.033531094,-229.783277525,347.033531094,229.783277525,-347.033531094,-96.3050639124,400.488418199,96.3050639124,-400.488418199,-96.3050639124,400.488418199,96.3050639124,-400.488418199,83.5278868181,426.521185662,-83.5278868182,-426.521185662,83.5278868183,426.521185662,-83.5278868184,-426.521185662,229.184429991,346.177616627,-229.184429991,-346.177616627,229.184429991,346.177616627,-229.184429991,-346.177616627,0,0,0,0
5,9.77467438484e-15,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,6.43179371235e-15,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-388.861706432,-196.005438842,388.861706432,196.005438842,-388.861706432,-196.005438842,388.861706432,196.005438842,-452.920737662,-53.3107831216,452.920737662,53.3107831216,-452.920737662,-53.3107831215,452.920737662,53.3107831214,-428.788855711,108.238079787,428.788855711,-108.238079787,-428.788855711,108.238079787,428.788855711,-108.238079787,-339.582370036,298.381012287,339.582370036,-298.381012287,-339.582370036,298.381012287,339.582370036,-298.381012287,-205.262384465,390.930496425,205.262384465,-390.930496425,-205.262384465,390.930496425,205.262384465,-390.930496425,-59.6785456676,431.626729531,59.6785456676,-431.626729531,-59.6785456677,431.626729531,59.6785456677,-431.626729531,133.197705643,445.066602514,-133.197705643,-445.066602514,133.197705643,445.066602514,-133.197705643,-445.066602514,276.730617162,341.690371935,-276.730617162,-341.690371935,276.730617162,341.690371935,-276.730617162,-341.690371935,0,0,0,0
6,-3.00521501329e-14,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,1.32857799425e-13,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-416.49362759,-170.802665779,416.493627589,170.802665779,-416.493627589,-170.802665779,416.493627589,170.802665779,-473.974160529,-20.8375867995,473.974160529,20.8375867995,-473.974160529,-20.8375867994,473.974160529,20.8375867993,-435.031069907,141.427850488,435.031069907,-141.427850488,-435.031069907,141.427850488,435.031069907,-141.427850488,-329.188721954,335.617356508,329.188721954,-335.617356508,-329.188721954,335.617356508,329.188721954,-335.617356508,-181.678940361,419.462514763,181.678940361,-419.462514763,-181.678940361,419.462514763,181.678940361,-419.462514763,-29.4303588491,448.929770926,29.4303588491,-448.929770926,-29.4303588491,448.929770926,29.4303588491,-448.929770926,171.831721409,453.205344917,-171.831721409,-453.205344917,171.831721409,453.205344917,-171.831721409,-453.205344917,309.95361738,332.670654091,-309.95361738,-332.670654091,309.95361738,332.670654091,-309.95361738,-332.670654091,0,0,0,0
7,3.88654090717e-14,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,-5.67341563499e-14,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-434.479429813,-148.568014223,434.479429813,148.568014223,-434.479429813,-148.568014223,434.479429813,148.568014223,-487.046667188,5.81676161658,487.046667187,-5.81676161661,-487.046667187,5.81676161671,487.046667187,-5.81676161676,-436.708554975,166.286144499,436.708554975,-166.286144499,-436.708554975,166.286144499,436.708554975,-166.286144499,-317.815047473,363.076022278,317.815047473,-363.076022278,-317.815047473,363.076022278,317.815047473,-363.076022278,-160.935640321,438.467021025,160.935640321,-438.467021025,-160.935640321,438.467021025,160.935640321,-438.467021025,-5.23896413313,458.49542057,5.23896413323,-458.49542057,-5.23896413331,458.49542057,5.2389641333,-458.49542057,202.144962029,456.330116919,-202.144962029,-456.330116919,202.144962029,456.330116919,-202.144962029,-456.330116919,333.594688855,322.9362808,-333.594688855,-322.936280799,333.594688855,322.936280799,-333.594688855,-322.936280799,0,0,0,0
8,1.4122723136e-14,-3.87700182051,3.35758206708,1.93850091026,-3.35758206708,1.93850091026,-4.86652497589e-14,-151.203071,130.945700616,75.6015355,-130.945700616,75.6015355,-446.35509373,-129.47445962,446.35509373,129.47445962,-446.355093729,-129.47445962,446.355093729,129.474459619,-495.442171179,27.7237618643,495.442171179,-27.7237618644,-495.442171179,27.7237618646,495.442171179,-27.7237618647,-436.356977089,185.151578154,436.356977089,-185.151578154,-436.356977089,185.151578154,436.356977089,-185.151578154,-306.864384569,383.931706217,306.864384569,-383.931706217,-306.864384569,383.931706217,306.864384569,-383.931706217,-143.197219216,451.456705921,143.197219217,-451.456705921,-143.197219217,451.456705921,143.197219217,-451.456705921,14.0006532347,463.643792132,-14.0006532347,-463.643792132,14.0006532346,463.643792132,-14.0006532346,-463.643792132,226.429914823,456.990850362,-226.429914823,-456.990850362,226.429914823,456.990850362,-226.429914823,-456.990850362,350.849676435,313.859394106,-350.849676435,-313.859394106,350.849676435,313.859394106,-350.849676435,-313.859394106,0,0,0,0
